Responder ID,1. Sex,2. Age,3. Household Type,4. Housing Type,5. Do you like gardening?,6. Reason for not liking gardening,7. Do you own plants?,8. If yeas what is the reason you own plants?,9. Have you heard of smart gardening,10. What do yu think it is?,11. Would you buy an SHG device?,12. Have you bough an SHG device?,13. Reason for purchasing a SHG device,14. Where would you use it?,15. What aspects do you care about,16.1 Air Care,16.2 Smartphone App,16.3 Real-time Monitoring,16.4 Environment Control,16.5 Self-watering,16.6 Light Control,17. Which design looks appealing?,18. What would make you likely buy this product?,19. How much are you willing to pay?,20. How often would you grow new plants?,21. What type of plants do you like to grow?,22. How would you purchase this product?,"23. Now, you know a bit more about smart gardening, how likely are you to buy a smart",8.1 Decoration - Home interior,"8.2 Growing herbs, veggies, fruits",8.3 Hobby,8.4 Healing - Reduce Stress,8.5 Well-being ,13.1 It is easy to use,13.2 I can grow perfect and fresh herbs and vegetables,13.3 To teach my kids about gardening/farming,13.4 To make the house look prettier,13.5 I like smart technologies,13.6 Can minimize the time,13.7 Stress relief through plants,15.1 Convenience,15.2 Quality,15.3 Brand,15.4 Price,15.5 Design,15.6 Maintenance service,15.7 Innovation,15.8 Reliability,15.9 Safety,21.1 Succulents,21.2 Flowers,21.3 Fruits,21.4 Vegetables,21.5 Herbs,21.6 Air Purifying Plants
64,1,2,5,1,1,"Yes, I like gardening",1,Healing - Reduce Stress,2,삶의 여유,2,2,"Can minimize the time, I like smart technologies",Personal Business/Office space,"Convenience, Maintenance service, Innovation",5,5,5,5,5,5,3,More technological features,1,2,Flowers,1,3,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
65,1,2,1,2,2,"I don't have time, I don't know how to take care of plants, I don't have the space for plants, I don't like having bugs in the house",2,"No, I don't own any plants",2,모름,1,2,It is easy to use,Office/business,Convenience,4,4,4,4,4,4,3,Customization,1,4,"Flowers, Air Purifying Plants",2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,1,2,2,1,2,I don't enjoy gardening,1,Decoration - Home interior,2,자동으로 정원을 가꾸는 것,2,2,It is easy to use,House,Price,4,4,3,3,4,4,4,More plant options,1,4,"Herbs, Air Purifying Plants",1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
67,1,2,5,1,2,I don't enjoy gardening,2,"No, I don't own any plants",2,몰름,2,2,None,House,Convenience,4,4,4,4,4,4,4,None,1,6,Fruits,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,1,2,3,1,2,I don't like having bugs in the house,2,"No, I don't own any plants",2,실내 공기 정화,2,2,To make the house look prettier,Office/business,Maintenance service,5,5,5,5,5,5,4,Comprehensive gardening guide,2,3,"Succulents, Air Purifying Plants",1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
69,1,2,5,1,2,I don't know how to take care of plants,1,Decoration - Home interior,2,"집에서 물주기 타이머, 조명 타이머 등 it 기기를 이용해 식물을 키우는 것?",1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants, To teach my kids about gardening/farming, To make the house look prettier",House,"Convenience, Quality, Price, Design, Reliability, Safety",3,4,4,4,5,5,4,"Aesthetic design, Customization, More plant options, Pick-up wilted plant option, More technological features, Comprehensive gardening guide",4,4,"Flowers, Vegetables, Herbs, Air Purifying Plants",6,4,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1
70,1,2,2,1,2,"I don't have time, I don't know how to take care of plants, I don't enjoy gardening, I don't like having bugs in the house",2,"No, I don't own any plants",2,자동 하우스 환경 조정 제어 장치,2,2,Stress relief through plants,Personal Business/Office space,"Convenience, Price",5,1,1,5,5,5,2,"Aesthetic design, Customization, More plant options",5,2,"Herbs, Air Purifying Plants",1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
71,1,2,2,1,2,"I don't have time, I don't know how to take care of plants, I don't like having bugs in the house",1,Decoration - Home interior,2,몰라요,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants, Can minimize the time, To make the house look prettier",House,"Convenience, Price, Design, Maintenance service",2,3,3,3,3,3,5,Aesthetic design,2,1,"Flowers, Air Purifying Plants",1,4,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
72,1,2,5,1,2,"I don't have time, I don't have the space for plants",1,Hobby,2,자동급수 식물상태알림 ,1,2,It is easy to use,House,"Convenience, Quality, Price",5,4,4,3,5,4,4,Aesthetic design,2,4,"Flowers, Herbs, Air Purifying Plants",1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1
73,1,2,5,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Healing - Reduce Stress",2,자동으로 식물을 관리해주는 시스템,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, To teach my kids about gardening/farming, To make the house look prettier, I like smart technologies",House,"Convenience, Price",2,1,1,1,5,5,4,"More plant options, More technological features",4,2,"Flowers, Fruits, Herbs",1,5,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
74,1,2,2,1,2,I don't have the space for plants,2,"No, I don't own any plants",2,잘 모르겠습니다. 인공지능 + 가드닝!?,2,2,"It is easy to use, To teach my kids about gardening/farming",House,"Maintenance service, Safety",4,4,5,5,5,4,2,Comprehensive gardening guide,1,3,"Flowers, Air Purifying Plants",1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
75,1,2,1,5,2,I don't have time,2,Hobby,2,모르겠습니다,1,2,Stress relief through plants,Office/business,Convenience,5,4,5,4,5,4,5,Aesthetic design,1,6,Herbs,1,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,1,2,2,1,1,"Yes, I like gardening",1,Decoration - Home interior,2,가든 자동화,2,2,"To make the house look prettier, I like smart technologies",House,"Price, Design, Maintenance service, Innovation",2,4,4,4,4,4,5,"Aesthetic design, Customization, More plant options, More technological features",2,3,"Succulents, Flowers, Air Purifying Plants",5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1
77,1,2,3,3,2,I don't have time,2,"No, I don't own any plants",2,자동햇빛조절 자동수분조절,2,2,"It is easy to use, Stress relief through plants, Can minimize the time, To make the house look prettier",House,"Quality, Price, Maintenance service",5,5,3,2,3,3,3,"More plant options, More technological features, Event promotion",1,5,"Herbs, Air Purifying Plants",1,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
78,1,2,3,1,2,I don't know how to take care of plants,2,"No, I don't own any plants",2,쉽게 식물을 기를 수 있는 시스템,1,2,"It is easy to use, To teach my kids about gardening/farming, Can minimize the time",House,Convenience,3,3,3,5,4,4,3,More technological features,2,4,Flowers,3,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,1,2,1,2,2,I don't have time,2,Decoration - Home interior,2,황경 ,2,2,I can grow perfect and fresh herbs and vegetables,House,Brand,2,2,1,3,2,3,4,More technological features,1,1,"Flowers, Fruits, Vegetables",1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
80,1,2,1,2,1,"Yes, I like gardening",2,"No, I don't own any plants",2,가든,1,2,It is easy to use,"House, Office/business, Personal Business/Office space","Convenience, Price, Design",4,1,2,1,3,3,1,"Aesthetic design, Customization, Pick-up wilted plant option",1,4,Air Purifying Plants,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
81,1,2,5,1,2,I don't enjoy gardening,2,"No, I don't own any plants",1,가정원예,1,2,"It is easy to use, To teach my kids about gardening/farming",House,"Convenience, Price, Reliability, Safety",5,5,5,5,5,5,5,Aesthetic design,1,4,Air Purifying Plants,1,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
82,1,2,3,1,2,I don't have time,2,"No, I don't own any plants",2,자동,2,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants, To teach my kids about gardening/farming, Can minimize the time, To make the house look prettier, I like smart technologies","House, Office/business, Personal Business/Office space","Reliability, Safety",5,5,4,5,4,4,5,Pick-up wilted plant option,2,2,Succulents,2,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
83,1,2,2,1,2,I don't enjoy gardening,1,Decoration - Home interior,2,알아서 식물을 잘 자라게 하는것,1,2,It is easy to use,House,Innovation,1,5,5,5,5,5,5,More technological features,2,5,"Herbs, Air Purifying Plants",1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
84,1,2,2,1,1,"Yes, I like gardening",1,Hobby,2,스마트하게 홈가드닝,1,2,I like smart technologies,House,"Convenience, Quality, Price, Design, Maintenance service, Reliability, Safety",4,4,4,4,5,3,1,More technological features,2,3,"Flowers, Herbs, Air Purifying Plants",2,4,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1
85,1,2,3,1,2,I don't enjoy gardening,1,Decoration - Home interior,2,집안에서 식물을 키우는것,1,2,Stress relief through plants,House,"Brand, Price",4,4,4,3,4,4,3,"Aesthetic design, Comprehensive gardening guide",1,2,"Succulents, Flowers",2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
86,1,2,1,2,2,I don't enjoy gardening,2,"No, I don't own any plants",2,식물 스스로 키우는것,1,2,To make the house look prettier,House,"Convenience, Design",4,5,5,5,5,5,1,Aesthetic design,2,6,Flowers,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
87,1,2,1,2,2,Others,1,Healing - Reduce Stress,2,몰라요,2,2,"It is easy to use, Stress relief through plants, Can minimize the time",House,"Convenience, Price, Maintenance service, Reliability, Safety",4,4,4,4,4,4,4,More technological features,2,1,"Succulents, Vegetables, Herbs, Air Purifying Plants",1,2,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1
88,1,2,3,1,1,"Yes, I like gardening",1,Decoration - Home interior,2,모르겠습니다,1,2,"It is easy to use, Can minimize the time",House,"Convenience, Quality, Design",5,5,2,2,5,5,3,Aesthetic design,2,4,"Flowers, Air Purifying Plants",1,5,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
89,1,2,1,1,2,I don't know how to take care of plants,2,"No, I don't own any plants",2,잘모름,1,2,I like smart technologies,House,"Quality, Design, Maintenance service",4,4,3,3,4,4,3,Aesthetic design,2,5,"Herbs, Air Purifying Plants",1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
90,1,2,1,2,1,"Yes, I like gardening",1,"Decoration - Home interior, Well-being ",2,식물을 활용하여 집을 꾸미는 형태?,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Can minimize the time",House,"Convenience, Price, Safety",5,5,4,3,3,4,3,"Customization, More plant options, More technological features",2,3,"Herbs, Air Purifying Plants",1,5,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
91,1,2,5,1,2,I don't have time,1,Decoration - Home interior,2,알아서 식물을 관리해주는 시스템,2,2,To make the house look prettier,House,Innovation,2,4,3,3,5,5,3,Aesthetic design,2,6,Air Purifying Plants,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
92,1,4,5,1,1,I don't like having bugs in the house,1,Hobby,1,집에서 키우는 식물,2,1,I can grow perfect and fresh herbs and vegetables,House,Convenience,3,1,1,1,3,3,4,More plant options,1,2,Vegetables,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,1,3,5,1,1,I don't have the space for plants,1,Healing - Reduce Stress,2,알아서 누군가 관리 해주는 ,1,2,Stress relief through plants,Office/business,Convenience,3,1,1,2,5,5,1,Aesthetic design,2,4,"Flowers, Herbs",2,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
94,1,3,3,1,2,I don't have the space for plants,1,Healing - Reduce Stress,1,실내 주거공간에 꾸미는 화단이나 식물배치,1,2,"Stress relief through plants, To make the house look prettier","House, Office/business","Convenience, Design, Maintenance service, Reliability",3,2,3,2,4,4,1,"More plant options, Pick-up wilted plant option",4,3,"Herbs, Air Purifying Plants",6,5,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
95,1,3,5,1,1,"Yes, I like gardening",1,Well-being ,2,집에서 간편하게 키울수 있는 화분,2,2,It is easy to use,House,"Convenience, Design",5,4,4,5,5,5,5,More plant options,1,4,Succulents,2,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
96,1,3,3,1,2,I don't have time,1,Healing - Reduce Stress,1,공기정화 관엽식물,2,2,Stress relief through plants,House,Maintenance service,4,1,4,4,4,4,1,Pick-up wilted plant option,1,2,Air Purifying Plants,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,1,3,1,2,2,"I don't have the space for plants, I don't enjoy gardening, Gardening is an expensive hobby",2,"No, I don't own any plants",2,집에서 키우는 식물,2,2,It is easy to use,House,"Convenience, Quality, Price, Design, Maintenance service",4,4,2,2,4,4,1,Aesthetic design,1,5,Flowers,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0
98,1,3,3,1,2,I don't have time,1,Decoration - Home interior,2,모름,2,2,I can grow perfect and fresh herbs and vegetables,House,"Convenience, Price, Design, Safety",4,4,4,4,4,4,3,"Aesthetic design, Event promotion",2,4,"Flowers, Herbs, Air Purifying Plants",2,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1
99,1,3,1,4,1,"Yes, I like gardening",1,"Growing herbs, veggies, fruits, Healing - Reduce Stress, Well-being ",1,집에서 식물을 키우는 것,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables",House,"Convenience, Quality, Design",5,5,5,5,5,5,4,"Aesthetic design, More plant options",2,3,"Vegetables, Herbs",1,4,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
100,1,3,5,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Growing herbs, veggies, fruits",2,IT 기기를 활용한 홈 가드닝,1,2,I can grow perfect and fresh herbs and vegetables,House,"Convenience, Quality, Price, Design, Maintenance service",3,4,4,4,4,3,1,Comprehensive gardening guide,2,3,"Succulents, Flowers, Vegetables",1,4,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0
101,1,3,5,1,2,"I don't know how to take care of plants, I don't like having bugs in the house",2,"No, I don't own any plants",1,웰빙,1,2,"It is easy to use, To teach my kids about gardening/farming",Office/business,"Convenience, Quality",4,4,3,3,4,4,5,More technological features,1,2,"Flowers, Air Purifying Plants",2,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
102,1,3,2,2,2,I don't know how to take care of plants,1,Decoration - Home interior,2,IoT기술을 활용한 가드닝,1,2,"It is easy to use, Can minimize the time",House,"Convenience, Maintenance service",4,4,5,4,4,4,1,"Aesthetic design, More technological features",2,2,"Succulents, Air Purifying Plants",1,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
103,1,3,5,1,1,"Yes, I like gardening",1,Decoration - Home interior,1,IOT 식물?,1,2,"It is easy to use, To teach my kids about gardening/farming",House,"Convenience, Price, Design, Maintenance service",4,5,4,4,4,5,4,"Comprehensive gardening guide, Event promotion",5,3,"Vegetables, Air Purifying Plants",2,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
104,1,3,5,1,1,"Yes, I like gardening",1,Decoration - Home interior,1,IOT 식물?,1,2,"It is easy to use, To teach my kids about gardening/farming",House,"Convenience, Price, Design, Maintenance service",4,5,4,4,4,5,4,"Comprehensive gardening guide, Event promotion",5,3,"Vegetables, Air Purifying Plants",2,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
105,1,3,5,1,2,I don't enjoy gardening,2,"No, I don't own any plants",2,잘 모르겠습니다 it기술의 도움을 받는것으로 언뜻 느껴집니다,2,2,It is easy to use,Office/business,Quality,2,2,3,2,1,1,4,More technological features,2,5,"Flowers, Air Purifying Plants",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
106,1,3,5,1,1,"Yes, I like gardening",1,Healing - Reduce Stress,1,집에서 손쉽게 식물을 가꾸는 것,2,2,To make the house look prettier,House,"Convenience, Price, Design, Maintenance service, Reliability, Safety",1,3,1,1,5,3,3,Aesthetic design,2,3,"Flowers, Herbs, Air Purifying Plants",3,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1
107,1,3,3,1,2,I don't have time,2,"No, I don't own any plants",2,편리한 실내 가든 생활,2,2,I can grow perfect and fresh herbs and vegetables,House,"Convenience, Price, Design",5,5,3,3,5,5,4,Event promotion,4,4,"Fruits, Vegetables",1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
108,1,3,5,1,2,I don't enjoy gardening,1,Decoration - Home interior,1,뭔가를 방어해주는 시설,2,2,Stress relief through plants,House,"Price, Design",1,1,1,1,5,3,3,Aesthetic design,2,6,Air Purifying Plants,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
109,1,3,5,3,1,I don't have time,2,"No, I don't own any plants",2,손쉬운 관리,1,2,It is easy to use,Office/business,"Convenience, Design, Safety",5,5,5,5,5,5,4,"Aesthetic design, Customization",1,3,"Flowers, Air Purifying Plants",1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
110,1,3,2,1,2,I don't like having bugs in the house,1,Decoration - Home interior,1,편리,1,2,To make the house look prettier,House,Convenience,3,4,5,5,5,5,1,Customization,1,2,"Flowers, Fruits, Herbs",2,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
111,1,3,1,4,2,I don't have time,2,"No, I don't own any plants",2,집에서 화분 키우기,2,2,Stress relief through plants,Office/business,Convenience,3,4,4,5,4,4,2,Customization,4,3,Flowers,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,1,3,3,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Growing herbs, veggies, fruits",1,편리한 조경,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables","House, Office/business","Convenience, Quality",5,5,5,5,5,5,5,"Aesthetic design, More plant options",2,3,"Succulents, Flowers, Vegetables",2,5,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
113,1,3,5,1,1,"Yes, I like gardening",1,Decoration - Home interior,1,불편함,2,2,It is easy to use,Office/business,"Convenience, Price",5,5,4,4,5,5,4,"Aesthetic design, Customization",2,3,"Flowers, Herbs",1,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
114,1,3,2,1,1,"Yes, I like gardening",1,"Decoration - Home interior, Growing herbs, veggies, fruits",1,네,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants","House, Office/business","Convenience, Quality, Reliability",5,5,4,4,4,4,1,"More plant options, Pick-up wilted plant option",2,1,"Succulents, Herbs, Air Purifying Plants",1,4,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
115,1,3,1,2,1,I don't have the space for plants,1,Healing - Reduce Stress,2,스마트하게 집환경을 개선하는 효과,2,1,"I can grow perfect and fresh herbs and vegetables, Stress relief through plants","House, Office/business","Convenience, Brand, Price, Reliability",4,4,4,4,4,4,5,"More plant options, More technological features, Comprehensive gardening guide, Event promotion",2,2,"Vegetables, Herbs, Air Purifying Plants",1,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1
116,1,3,5,1,1,I don't have the space for plants,1,Healing - Reduce Stress,2,글세요,2,2,To make the house look prettier,House,Convenience,5,4,4,4,4,4,2,"Aesthetic design, More plant options",1,2,"Succulents, Flowers",6,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
117,1,3,5,1,2,"I don't enjoy gardening, Gardening is an expensive hobby",1,Kids like it,2,알아서 관리해주는 가드닝,2,2,"Stress relief through plants, To teach my kids about gardening/farming, Can minimize the time",Personal Business/Office space,"Convenience, Maintenance service, Reliability",3,2,3,2,4,4,4,"Customization, Event promotion",3,4,"Succulents, Air Purifying Plants",6,3,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
118,1,3,2,2,2,I don't like having bugs in the house,2,Decoration - Home interior,1,자동,2,2,I like smart technologies,Office/business,Maintenance service,4,4,3,2,4,4,4,Event promotion,2,2,"Succulents, Herbs, Air Purifying Plants",1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
119,1,3,5,1,2,"I don't have time, I don't know how to take care of plants, I don't like having bugs in the house",2,"No, I don't own any plants",1,집에서 식물을 여러 IT 도움을 받아 기르는것,2,2,"I can grow perfect and fresh herbs and vegetables, I like smart technologies",House,"Convenience, Innovation",4,4,4,4,5,5,5,Comprehensive gardening guide,2,4,"Vegetables, Herbs, Air Purifying Plants",1,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
120,1,3,3,1,2,I don't enjoy gardening,2,"No, I don't own any plants",1,기존 가드닝보다 똑똑한거,1,2,"Stress relief through plants, To make the house look prettier","House, Office/business","Convenience, Quality, Brand, Design",3,3,3,3,4,4,1,"Aesthetic design, More plant options",3,3,"Flowers, Air Purifying Plants",2,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
121,1,3,5,1,1,"Yes, I like gardening",1,Healing - Reduce Stress,2,시스템화 식물키우기,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants",House,"Reliability, Safety",4,4,4,4,4,4,4,"Aesthetic design, More technological features",3,3,"Flowers, Vegetables, Air Purifying Plants",1,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
122,1,3,3,1,2,I don't have time,2,"No, I don't own any plants",1,원격,2,2,It is easy to use,House,Convenience,5,5,5,5,5,5,3,More technological features,2,5,Air Purifying Plants,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,1,3,5,1,1,"Yes, I like gardening",1,"Healing - Reduce Stress, Well-being ",2,"IOT기술적용 수분공급제어, 실내공기질정화 측정",1,2,I can grow perfect and fresh herbs and vegetables,House,"Convenience, Design, Reliability",5,4,3,4,5,5,3,"More technological features, Comprehensive gardening guide",3,3,"Flowers, Vegetables, Herbs, Air Purifying Plants",6,5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1
124,1,3,5,1,2,Others,1,"Decoration - Home interior, 좋아하지는 않지만 키울 수는 있는데요.",2,홈가드닝에 필요한 관수등을 전자제어장치로 하는 것일 것 같아요. 그 제어는 휴대폰등을 이용함,2,2,To teach my kids about gardening/farming,House,"Convenience, Price, Design, Maintenance service",4,4,1,1,5,5,1,"Aesthetic design, More technological features",1,4,"Flowers, Fruits",1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0
125,1,3,3,1,1,"Yes, I like gardening",1,Healing - Reduce Stress,2,스마트 기기를 이용한 집 활용,2,2,I can grow perfect and fresh herbs and vegetables,House,Quality,5,4,4,4,4,4,4,"Customization, Comprehensive gardening guide",2,3,"Vegetables, Air Purifying Plants",2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
126,1,3,5,1,2,"I don't know how to take care of plants, I don't enjoy gardening",1,Decoration - Home interior,2,A device that automatically grows plants?,2,2,"It is easy to use, Can minimize the time",Office/business,"Convenience, Price, Design, Maintenance service",4,4,3,4,5,5,4,"Aesthetic design, Customization, Comprehensive gardening guide",3,2,Herbs,2,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
127,1,3,3,4,2,"I don't have time, I don't know how to take care of plants, I don't enjoy gardening, I don't like having bugs in the house",2,"No, I don't own any plants",2,편하게 식물을 키우는 방법,2,2,"Stress relief through plants, To teach my kids about gardening/farming","House, Office/business","Convenience, Maintenance service",4,1,1,1,4,4,1,Customization,1,5,Air Purifying Plants,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,1,3,3,1,2,I don't like having bugs in the house,1,Decoration - Home interior,2,자동관수,2,2,It is easy to use,Office/business,"Convenience, Price",3,3,3,3,4,4,3,Aesthetic design,2,6,Air Purifying Plants,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
129,1,3,5,4,2,"I don't have the space for plants, I don't like having bugs in the house",1,Kids like it,2,모르겠다,1,2,To teach my kids about gardening/farming,House,"Convenience, Price",4,4,4,4,2,2,4,Event promotion,1,2,"Succulents, Flowers, Herbs, Air Purifying Plants",1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1
130,1,3,3,1,1,"Yes, I like gardening",1,"Hobby, Healing - Reduce Stress, Well-being ",2,스마트기기를 활용한 원격으로 식물케어해주는 사업??,1,2,"It is easy to use, I can grow perfect and fresh herbs and vegetables, Stress relief through plants","House, Office/business","Convenience, Price, Design, Maintenance service",4,4,4,3,4,4,1,"Aesthetic design, Comprehensive gardening guide",2,3,"Flowers, Herbs, Air Purifying Plants",6,4,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1
131,1,3,5,3,2,I don't have time,1,Healing - Reduce Stress,2,기기를통해 ㄱ키우는 전자 식물?,2,2,It is easy to use,Personal Business/Office space,Convenience,3,5,5,5,5,5,1,Aesthetic design,1,6,Vegetables,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
